Onset	Duration	TrialTag	ABTag	CDTag	Match	ABMainRel	CDMainRel	ABSubRel	CDSubRel	ProbeResp	ProbeCorr	ProbeArr	AB	CD	Probe
155.4533	2.0115	pencil:pen::fence:hedge	pencil:pen	None	None	1	None	2	None	0	0	0	1	0	0
158.0490	2.0131	pencil:pen::fence:hedge	None	fence:hedge	1	None	1	None	2	0	0	0	0	1	0
161.3014	2.0711	pencil:pen::fence:hedge	pencil:pen	fence:hedge	1	1	1	2	2	['a']	l	2	0	0	1
164.3877	2.0124	drink:hydrate::house:home	drink:hydrate	None	None	3	None	9	None	0	0	0	1	0	0
167.2635	2.0082	drink:hydrate::house:home	None	house:home	0	None	1	None	1	0	0	0	0	1	0
169.8992	1.8095	drink:hydrate::house:home	drink:hydrate	house:home	0	3	1	9	1	['a']	l	1	0	0	1
172.7303	2.0099	rise:tide::dirty:clean	rise:tide	None	None	1	None	3	None	0	0	0	1	0	0
175.2814	2.0103	rise:tide::dirty:clean	None	dirty:clean	0	None	2	None	4	0	0	0	0	1	0
177.9691	1.3954	rise:tide::dirty:clean	rise:tide	dirty:clean	0	1	2	3	4	['a']	a	2	0	0	1
180.3768	2.0116	day:evening::speak:express	day:evening	None	None	2	None	6	None	0	0	0	1	0	0
183.0436	2.0131	day:evening::speak:express	None	speak:express	0	None	3	None	9	0	0	0	0	1	0
185.7047	0.6529	day:evening::speak:express	day:evening	speak:express	0	2	3	6	9	['l']	l	1	0	0	1
187.3805	2.0058	nervousness:sweat::coldness:shiver	nervousness:sweat	None	None	3	None	8	None	0	0	0	1	0	0
190.1713	2.0175	nervousness:sweat::coldness:shiver	None	coldness:shiver	1	None	3	None	8	0	0	0	0	1	0
193.3586	1.3026	nervousness:sweat::coldness:shiver	nervousness:sweat	coldness:shiver	1	3	3	8	8	['a']	a	1	0	0	1
195.6831	2.0116	hill:mountain::danger:flee	hill:mountain	None	None	1	None	2	None	0	0	0	1	0	0
198.6934	2.0176	hill:mountain::danger:flee	None	danger:flee	0	None	3	None	8	0	0	0	0	1	0
202.4284	1.9935	hill:mountain::danger:flee	hill:mountain	danger:flee	0	1	3	2	8	['a']	a	2	0	0	1
205.4321	2.0125	warm:cool::hot:cold	warm:cool	None	None	2	None	4	None	0	0	0	1	0	0
207.9971	2.0057	warm:cool::hot:cold	None	hot:cold	1	None	2	None	4	0	0	0	0	1	0
211.8367	1.0808	warm:cool::hot:cold	warm:cool	hot:cold	1	2	2	4	4	['a']	l	2	0	0	1
213.9370	2.0123	wash:clean::cook:eat	wash:clean	None	None	3	None	9	None	0	0	0	1	0	0
216.8604	2.0062	wash:clean::cook:eat	None	cook:eat	1	None	3	None	9	0	0	0	0	1	0
220.2827	0.6673	wash:clean::cook:eat	wash:clean	cook:eat	1	3	3	9	9	['a']	l	2	0	0	1
221.9727	2.0116	in:out::left:right	in:out	None	None	2	None	5	None	0	0	0	1	0	0
225.3007	2.0079	in:out::left:right	None	left:right	1	None	2	None	5	0	0	0	0	1	0
228.0764	2.0255	in:out::left:right	in:out	left:right	1	2	2	5	5	['l']	l	2	0	0	1
231.1125	2.0104	boat:ship::big:large	boat:ship	None	None	1	None	1	None	0	0	0	1	0	0
236.2776	2.0179	boat:ship::big:large	None	big:large	1	None	1	None	1	0	0	0	0	1	0
238.9245	4.0145	boat:ship::big:large	boat:ship	big:large	1	1	1	1	1	None	a	1	0	0	1
243.9563	2.0116	loss:grief::fire:burns	loss:grief	None	None	3	None	7	None	0	0	0	1	0	0
246.7609	2.0090	loss:grief::fire:burns	None	fire:burns	1	None	3	None	7	0	0	0	0	1	0
249.3820	2.5444	loss:grief::fire:burns	loss:grief	fire:burns	1	3	3	7	7	['l']	a	1	0	0	1
252.9413	2.0157	tiredness:rest::dark:light	tiredness:rest	None	None	3	None	8	None	0	0	0	1	0	0
255.6731	2.0194	tiredness:rest::dark:light	None	dark:light	0	None	2	None	4	0	0	0	0	1	0
258.2366	2.3783	tiredness:rest::dark:light	tiredness:rest	dark:light	0	3	2	8	4	['l']	l	1	0	0	1
261.6283	2.0122	black:white::terror:fear	black:white	None	None	2	None	4	None	0	0	0	1	0	0
264.8228	2.0186	black:white::terror:fear	None	terror:fear	0	None	1	None	3	0	0	0	0	1	0
267.4357	4.0197	black:white::terror:fear	black:white	terror:fear	0	2	1	4	3	None	a	2	0	0	1
272.4806	2.0119	rise:sink::shovel:spoon	rise:sink	None	None	2	None	5	None	0	0	0	1	0	0
276.4471	2.0149	rise:sink::shovel:spoon	None	shovel:spoon	0	None	1	None	2	0	0	0	0	1	0
279.0957	0.5760	rise:sink::shovel:spoon	rise:sink	shovel:spoon	0	2	1	5	2	['a']	a	2	0	0	1
280.6966	2.0096	discount:price::heat:temperature	discount:price	None	None	1	None	3	None	0	0	0	1	0	0
283.6704	2.0146	discount:price::heat:temperature	None	heat:temperature	1	None	1	None	3	0	0	0	0	1	0
286.5419	4.0115	discount:price::heat:temperature	discount:price	heat:temperature	1	1	1	3	3	None	l	2	0	0	1
291.5757	2.0104	cute:adorable::burnish:shine	cute:adorable	None	None	1	None	1	None	0	0	0	1	0	0
294.3399	2.0130	cute:adorable::burnish:shine	None	burnish:shine	0	None	3	None	9	0	0	0	0	1	0
297.4585	1.0855	cute:adorable::burnish:shine	cute:adorable	burnish:shine	0	1	3	1	9	['a']	l	1	0	0	1
299.5616	2.0096	enthusiastic:lazy::witty:dumb	enthusiastic:lazy	None	None	2	None	6	None	0	0	0	1	0	0
302.1862	2.0185	enthusiastic:lazy::witty:dumb	None	witty:dumb	1	None	2	None	6	0	0	0	0	1	0
305.1281	2.2401	enthusiastic:lazy::witty:dumb	enthusiastic:lazy	witty:dumb	1	2	2	6	6	['a']	a	1	0	0	1
