Onset	Duration	TrialTag	ABTag	CDTag	Match	ABMainRel	CDMainRel	ABSubRel	CDSubRel	ProbeResp	ProbeCorr	ProbeArr	AB	CD	Probe
3.1138	2.0999	interior:exterior::below:above	interior:exterior	None	None	2	None	5	None	0	0	0	1	0	0
6.1735	2.1068	interior:exterior::below:above	None	below:above	1	None	2	None	5	0	0	0	0	1	0
10.0576	2.2858	interior:exterior::below:above	interior:exterior	below:above	1	2	2	5	5	['l']	l	2	0	0	1
13.4221	2.0765	wagon:trailer::picture:drawing	wagon:trailer	None	None	1	None	2	None	0	0	0	1	0	0
16.6358	2.0661	wagon:trailer::picture:drawing	None	picture:drawing	1	None	1	None	2	0	0	0	0	1	0
19.7157	1.7207	wagon:trailer::picture:drawing	wagon:trailer	picture:drawing	1	1	1	2	2	['a']	a	1	0	0	1
22.5196	2.0991	old:young::rich:poor	old:young	None	None	2	None	4	None	0	0	0	1	0	0
25.2900	2.0684	old:young::rich:poor	None	rich:poor	1	None	2	None	4	0	0	0	0	1	0
28.0626	1.2021	old:young::rich:poor	old:young	rich:poor	1	2	2	4	4	['a']	a	1	0	0	1
30.3908	2.1510	explosion:damage::fun:boring	explosion:damage	None	None	3	None	7	None	0	0	0	1	0	0
33.7646	2.0603	explosion:damage::fun:boring	None	fun:boring	0	None	2	None	6	0	0	0	0	1	0
36.8691	2.1070	explosion:damage::fun:boring	explosion:damage	fun:boring	0	3	2	7	6	['a']	a	2	0	0	1
40.0996	2.0691	make:manufacture::obey:protest	make:manufacture	None	None	1	None	1	None	0	0	0	1	0	0
44.5983	2.0572	make:manufacture::obey:protest	None	obey:protest	0	None	2	None	6	0	0	0	0	1	0
47.9036	4.0800	make:manufacture::obey:protest	make:manufacture	obey:protest	0	1	2	1	6	None	a	2	0	0	1
53.0928	2.0698	ahead:behind::bath:cleanliness	ahead:behind	None	None	2	None	5	None	0	0	0	1	0	0
57.0859	2.1108	ahead:behind::bath:cleanliness	None	bath:cleanliness	0	None	3	None	7	0	0	0	0	1	0
60.2319	2.4712	ahead:behind::bath:cleanliness	ahead:behind	bath:cleanliness	0	2	3	5	7	['a']	a	2	0	0	1
63.7919	2.2538	top:bottom::pants:trousers	top:bottom	None	None	2	None	5	None	0	0	0	1	0	0
67.9660	2.0452	top:bottom::pants:trousers	None	pants:trousers	0	None	1	None	1	0	0	0	0	1	0
70.6677	4.0285	top:bottom::pants:trousers	top:bottom	pants:trousers	0	2	1	5	1	['l']	l	1	0	0	1
75.7595	2.0255	spin:twirl::bright:dull	spin:twirl	None	None	1	None	1	None	0	0	0	1	0	0
78.6451	2.0724	spin:twirl::bright:dull	None	bright:dull	0	None	2	None	6	0	0	0	0	1	0
81.5355	4.0453	spin:twirl::bright:dull	spin:twirl	bright:dull	0	1	2	1	6	None	l	1	0	0	1
86.6832	2.0625	house:tent::book:magazine	house:tent	None	None	1	None	2	None	0	0	0	1	0	0
89.5554	2.0194	house:tent::book:magazine	None	book:magazine	1	None	1	None	2	0	0	0	0	1	0
92.9860	1.0055	house:tent::book:magazine	house:tent	book:magazine	1	1	1	2	2	['l']	l	2	0	0	1
95.0605	2.0578	death:population::start:finish	death:population	None	None	1	None	3	None	0	0	0	1	0	0
98.0925	2.0760	death:population::start:finish	None	start:finish	0	None	2	None	5	0	0	0	0	1	0
100.8696	2.5658	death:population::start:finish	death:population	start:finish	0	1	2	3	5	['l']	l	1	0	0	1
104.5160	2.0921	smiling:sad::high:down	smiling:sad	None	None	2	None	6	None	0	0	0	1	0	0
107.9796	2.0162	smiling:sad::high:down	None	high:down	1	None	2	None	6	0	0	0	0	1	0
112.3561	2.9633	smiling:sad::high:down	smiling:sad	high:down	1	2	2	6	6	['a']	a	1	0	0	1
116.3549	2.1026	fat:thin::dirty:bathe	fat:thin	None	None	2	None	4	None	0	0	0	1	0	0
119.3039	2.0388	fat:thin::dirty:bathe	None	dirty:bathe	0	None	3	None	8	0	0	0	0	1	0
122.3099	3.9108	fat:thin::dirty:bathe	fat:thin	dirty:bathe	0	2	3	4	8	['a']	a	2	0	0	1
127.2712	2.0215	just:unfair::injury:pain	just:unfair	None	None	2	None	6	None	0	0	0	1	0	0
129.9373	2.0587	just:unfair::injury:pain	None	injury:pain	0	None	3	None	7	0	0	0	0	1	0
132.6915	1.2112	just:unfair::injury:pain	just:unfair	injury:pain	0	2	3	6	7	['a']	a	2	0	0	1
134.9709	2.0794	sickness:medicate::raise:elevate	sickness:medicate	None	None	3	None	8	None	0	0	0	1	0	0
137.7345	2.0582	sickness:medicate::raise:elevate	None	raise:elevate	0	None	1	None	1	0	0	0	0	1	0
141.5340	0.5696	sickness:medicate::raise:elevate	sickness:medicate	raise:elevate	0	3	1	8	1	['a']	a	2	0	0	1
143.1871	2.0149	right:bad::advertise:promote	right:bad	None	None	2	None	6	None	0	0	0	1	0	0
145.8289	2.0607	right:bad::advertise:promote	None	advertise:promote	0	None	3	None	9	0	0	0	0	1	0
148.7759	1.9036	right:bad::advertise:promote	right:bad	advertise:promote	0	2	3	6	9	['a']	a	2	0	0	1
151.7152	2.0152	germs:sickness::illness:discomfort	germs:sickness	None	None	3	None	7	None	0	0	0	1	0	0
155.0302	2.1062	germs:sickness::illness:discomfort	None	illness:discomfort	1	None	3	None	7	0	0	0	0	1	0
157.8858	2.6977	germs:sickness::illness:discomfort	germs:sickness	illness:discomfort	1	3	3	7	7	['l']	l	2	0	0	1
161.6360	2.0348	ignite:burn::speed:movement	ignite:burn	None	None	3	None	9	None	0	0	0	1	0	0
164.3558	2.0182	ignite:burn::speed:movement	None	speed:movement	0	None	1	None	3	0	0	0	0	1	0
167.4312	2.7202	ignite:burn::speed:movement	ignite:burn	speed:movement	0	3	1	9	3	['a']	l	1	0	0	1
171.2000	2.0146	inflation:price::hunger:eat	inflation:price	None	None	1	None	3	None	0	0	0	1	0	0
174.0580	2.0159	inflation:price::hunger:eat	None	hunger:eat	0	None	3	None	8	0	0	0	0	1	0
177.2023	3.0292	inflation:price::hunger:eat	inflation:price	hunger:eat	0	1	3	3	8	['l']	l	1	0	0	1
181.2640	2.0131	repetition:boredom::good:wrong	repetition:boredom	None	None	3	None	7	None	0	0	0	1	0	0
184.0114	2.0157	repetition:boredom::good:wrong	None	good:wrong	0	None	2	None	6	0	0	0	0	1	0
186.8376	1.3379	repetition:boredom::good:wrong	repetition:boredom	good:wrong	0	3	2	7	6	['l']	l	1	0	0	1
189.2142	2.0161	thirst:drink::happiness:smile	thirst:drink	None	None	3	None	8	None	0	0	0	1	0	0
193.0278	2.0152	thirst:drink::happiness:smile	None	happiness:smile	1	None	3	None	8	0	0	0	0	1	0
196.2127	1.1389	thirst:drink::happiness:smile	thirst:drink	happiness:smile	1	3	3	8	8	['a']	a	1	0	0	1
198.3863	2.0161	pillow:cushion::pretty:ugly	pillow:cushion	None	None	1	None	2	None	0	0	0	1	0	0
200.9959	2.0158	pillow:cushion::pretty:ugly	None	pretty:ugly	0	None	2	None	4	0	0	0	0	1	0
203.5724	1.6431	pillow:cushion::pretty:ugly	pillow:cushion	pretty:ugly	0	1	2	2	4	['l']	l	1	0	0	1
206.2472	2.0306	fast:slow::heat:sweat	fast:slow	None	None	2	None	4	None	0	0	0	1	0	0
209.5120	2.0164	fast:slow::heat:sweat	None	heat:sweat	0	None	3	None	8	0	0	0	0	1	0
212.5106	2.8810	fast:slow::heat:sweat	fast:slow	heat:sweat	0	2	3	4	8	['a']	a	2	0	0	1
216.4533	2.0270	fright:scream::loneliness:socialize	fright:scream	None	None	3	None	8	None	0	0	0	1	0	0
219.2012	2.0147	fright:scream::loneliness:socialize	None	loneliness:socialize	1	None	3	None	8	0	0	0	0	1	0
222.2047	2.6670	fright:scream::loneliness:socialize	fright:scream	loneliness:socialize	1	3	3	8	8	['l']	l	2	0	0	1
225.9192	2.0149	forward:backward::north:south	forward:backward	None	None	2	None	5	None	0	0	0	1	0	0
229.0583	2.0317	forward:backward::north:south	None	north:south	1	None	2	None	5	0	0	0	0	1	0
231.6994	0.9962	forward:backward::north:south	forward:backward	north:south	1	2	2	5	5	['a']	a	1	0	0	1
233.7330	2.0303	sadness:cry::table:desk	sadness:cry	None	None	3	None	8	None	0	0	0	1	0	0
237.2773	2.0155	sadness:cry::table:desk	None	table:desk	0	None	1	None	2	0	0	0	0	1	0
240.7447	2.3508	sadness:cry::table:desk	sadness:cry	table:desk	0	3	1	8	2	['l']	a	2	0	0	1
244.1378	2.0309	raise:salary::shorten:distance	raise:salary	None	None	1	None	3	None	0	0	0	1	0	0
246.8719	2.0148	raise:salary::shorten:distance	None	shorten:distance	1	None	1	None	3	0	0	0	0	1	0
249.5106	1.7771	raise:salary::shorten:distance	raise:salary	shorten:distance	1	1	1	3	3	['l']	l	2	0	0	1
252.3250	2.0154	big:small::difficult:easy	big:small	None	None	2	None	4	None	0	0	0	1	0	0
254.8877	2.0146	big:small::difficult:easy	None	difficult:easy	1	None	2	None	4	0	0	0	0	1	0
257.6673	0.7083	big:small::difficult:easy	big:small	difficult:easy	1	2	2	4	4	['l']	l	2	0	0	1
259.4177	2.0159	flee:escape::read:learn	flee:escape	None	None	3	None	9	None	0	0	0	1	0	0
262.2319	2.0142	flee:escape::read:learn	None	read:learn	1	None	3	None	9	0	0	0	0	1	0
267.0259	1.8457	flee:escape::read:learn	flee:escape	read:learn	1	3	3	9	9	['a']	a	1	0	0	1
269.9177	2.0158	sleep:rest::bright:dark	sleep:rest	None	None	3	None	9	None	0	0	0	1	0	0
273.5577	2.0327	sleep:rest::bright:dark	None	bright:dark	0	None	2	None	4	0	0	0	0	1	0
277.0888	1.4227	sleep:rest::bright:dark	sleep:rest	bright:dark	0	3	2	9	4	['l']	l	1	0	0	1
279.5433	2.0309	loud:discreet::majority:small	loud:discreet	None	None	2	None	6	None	0	0	0	1	0	0
282.1847	2.0301	loud:discreet::majority:small	None	majority:small	1	None	2	None	6	0	0	0	0	1	0
285.4816	1.5260	loud:discreet::majority:small	loud:discreet	majority:small	1	2	2	6	6	['l']	a	1	0	0	1
288.0658	2.0242	ladder:stairs::bathe:clean	ladder:stairs	None	None	1	None	2	None	0	0	0	1	0	0
290.6870	2.0279	ladder:stairs::bathe:clean	None	bathe:clean	0	None	3	None	9	0	0	0	0	1	0
293.4957	0.4560	ladder:stairs::bathe:clean	ladder:stairs	bathe:clean	0	1	3	2	9	['l']	l	1	0	0	1
294.9802	2.0316	couch:sofa::kid:child	couch:sofa	None	None	1	None	1	None	0	0	0	1	0	0
297.6866	2.0131	couch:sofa::kid:child	None	kid:child	1	None	1	None	1	0	0	0	0	1	0
300.9173	1.0343	couch:sofa::kid:child	couch:sofa	kid:child	1	1	1	1	1	['a']	a	1	0	0	1
302.9982	2.0138	tragedy:tears::exercise:fitness	tragedy:tears	None	None	3	None	7	None	0	0	0	1	0	0
305.6070	2.0141	tragedy:tears::exercise:fitness	None	exercise:fitness	1	None	3	None	7	0	0	0	0	1	0
308.3076	1.0761	tragedy:tears::exercise:fitness	tragedy:tears	exercise:fitness	1	3	3	7	7	['l']	l	2	0	0	1
310.4199	2.0294	exercise:healthy::breathe:live	exercise:healthy	None	None	3	None	9	None	0	0	0	1	0	0
313.1050	2.0318	exercise:healthy::breathe:live	None	breathe:live	1	None	3	None	9	0	0	0	0	1	0
316.1195	1.0323	exercise:healthy::breathe:live	exercise:healthy	breathe:live	1	3	3	9	9	['a']	a	1	0	0	1
318.1844	2.0150	force:pressure::acceleration:speed	force:pressure	None	None	1	None	3	None	0	0	0	1	0	0
321.0298	2.0139	force:pressure::acceleration:speed	None	acceleration:speed	1	None	1	None	3	0	0	0	0	1	0
325.0904	0.9665	force:pressure::acceleration:speed	force:pressure	acceleration:speed	1	1	1	3	3	['l']	l	2	0	0	1
327.0911	2.0305	option:choice::careful:cautious	option:choice	None	None	1	None	1	None	0	0	0	1	0	0
331.2949	2.0138	option:choice::careful:cautious	None	careful:cautious	1	None	1	None	1	0	0	0	0	1	0
334.3703	0.6618	option:choice::careful:cautious	option:choice	careful:cautious	1	1	1	1	1	['l']	l	2	0	0	1
