Onset	Duration	TrialTag	ABTag	CDTag	Match	ABMainRel	CDMainRel	ABSubRel	CDSubRel	ProbeResp	ProbeCorr	ProbeArr	AB	CD	Probe
164.7868	2.0143	powerful:meek::rake:fork	powerful:meek	None	None	2	None	6	None	0	0	0	1	0	0
167.4410	2.0320	powerful:meek::rake:fork	None	rake:fork	0	None	1	None	2	0	0	0	0	1	0
170.4093	2.8149	powerful:meek::rake:fork	powerful:meek	rake:fork	0	2	1	6	2	['a']	a	2	0	0	1
174.2702	2.0310	discount:price::heat:temperature	discount:price	None	None	1	None	3	None	0	0	0	1	0	0
177.6463	2.0298	discount:price::heat:temperature	None	heat:temperature	1	None	1	None	3	0	0	0	0	1	0
180.5506	0.7697	discount:price::heat:temperature	discount:price	heat:temperature	1	1	1	3	3	['l']	l	2	0	0	1
182.3643	2.0150	black:white::terror:fear	black:white	None	None	2	None	4	None	0	0	0	1	0	0
185.5971	2.0166	black:white::terror:fear	None	terror:fear	0	None	1	None	3	0	0	0	0	1	0
189.4405	0.9437	black:white::terror:fear	black:white	terror:fear	0	2	1	4	3	['a']	a	2	0	0	1
191.4256	2.0318	darken:color::soften:voice	darken:color	None	None	1	None	3	None	0	0	0	1	0	0
194.3318	2.0319	darken:color::soften:voice	None	soften:voice	1	None	1	None	3	0	0	0	0	1	0
197.1285	0.6157	darken:color::soften:voice	darken:color	soften:voice	1	1	1	3	3	['l']	l	2	0	0	1
198.7845	2.0167	low:up::funny:serious	low:up	None	None	2	None	6	None	0	0	0	1	0	0
201.8951	2.0311	low:up::funny:serious	None	funny:serious	1	None	2	None	6	0	0	0	0	1	0
204.5204	0.8002	low:up::funny:serious	low:up	funny:serious	1	2	2	6	6	['a']	a	1	0	0	1
206.3652	2.0142	nervousness:sweat::coldness:shiver	nervousness:sweat	None	None	3	None	8	None	0	0	0	1	0	0
210.2709	2.0304	nervousness:sweat::coldness:shiver	None	coldness:shiver	1	None	3	None	8	0	0	0	0	1	0
213.7368	0.7034	nervousness:sweat::coldness:shiver	nervousness:sweat	coldness:shiver	1	3	3	8	8	['a']	a	1	0	0	1
215.4731	2.0313	heater:warmth::climb:descend	heater:warmth	None	None	3	None	7	None	0	0	0	1	0	0
219.1314	2.0136	heater:warmth::climb:descend	None	climb:descend	0	None	2	None	5	0	0	0	0	1	0
222.4407	1.1835	heater:warmth::climb:descend	heater:warmth	climb:descend	0	3	2	7	5	['a']	a	2	0	0	1
224.6602	2.0160	rise:sink::shovel:spoon	rise:sink	None	None	2	None	5	None	0	0	0	1	0	0
227.4568	2.0164	rise:sink::shovel:spoon	None	shovel:spoon	0	None	1	None	2	0	0	0	0	1	0
230.2066	0.9616	rise:sink::shovel:spoon	rise:sink	shovel:spoon	0	2	1	5	2	['a']	a	2	0	0	1
232.2086	2.0146	dirtiness:bathe::front:back	dirtiness:bathe	None	None	3	None	8	None	0	0	0	1	0	0
234.8322	2.0162	dirtiness:bathe::front:back	None	front:back	0	None	2	None	5	0	0	0	0	1	0
238.1444	1.4799	dirtiness:bathe::front:back	dirtiness:bathe	front:back	0	3	2	8	5	['l']	l	1	0	0	1
240.6608	2.0311	boat:ship::big:large	boat:ship	None	None	1	None	1	None	0	0	0	1	0	0
243.2701	2.0312	boat:ship::big:large	None	big:large	1	None	1	None	1	0	0	0	0	1	0
246.5806	0.9955	boat:ship::big:large	boat:ship	big:large	1	1	1	1	1	['a']	a	1	0	0	1
248.6136	2.0162	run:sprint::under:over	run:sprint	None	None	1	None	1	None	0	0	0	1	0	0
251.1761	2.0314	run:sprint::under:over	None	under:over	0	None	2	None	5	0	0	0	0	1	0
254.0556	0.7047	run:sprint::under:over	run:sprint	under:over	0	1	2	1	5	['l']	l	1	0	0	1
255.8020	2.0150	trim:shorten::study:learn	trim:shorten	None	None	3	None	9	None	0	0	0	1	0	0
259.1877	2.0199	trim:shorten::study:learn	None	study:learn	1	None	3	None	9	0	0	0	0	1	0
262.0511	2.8133	trim:shorten::study:learn	trim:shorten	study:learn	1	3	3	9	9	['a']	a	1	0	0	1
265.9157	2.0262	enthusiastic:lazy::witty:dumb	enthusiastic:lazy	None	None	2	None	6	None	0	0	0	1	0	0
268.6135	2.0161	enthusiastic:lazy::witty:dumb	None	witty:dumb	1	None	2	None	6	0	0	0	0	1	0
271.2692	0.6510	enthusiastic:lazy::witty:dumb	enthusiastic:lazy	witty:dumb	1	2	2	6	6	['a']	a	1	0	0	1
272.9742	2.0462	day:evening::speak:express	day:evening	None	None	2	None	6	None	0	0	0	1	0	0
275.9140	2.0283	day:evening::speak:express	None	speak:express	0	None	3	None	9	0	0	0	0	1	0
278.5654	3.7628	day:evening::speak:express	day:evening	speak:express	0	2	3	6	9	['l']	l	1	0	0	1
283.3622	2.0174	in:out::left:right	in:out	None	None	2	None	5	None	0	0	0	1	0	0
286.7709	2.0309	in:out::left:right	None	left:right	1	None	2	None	5	0	0	0	0	1	0
289.3629	1.8294	in:out::left:right	in:out	left:right	1	2	2	5	5	['l']	l	2	0	0	1
292.2224	2.0165	pencil:pen::fence:hedge	pencil:pen	None	None	1	None	2	None	0	0	0	1	0	0
294.9742	2.0147	pencil:pen::fence:hedge	None	fence:hedge	1	None	1	None	2	0	0	0	0	1	0
297.5349	2.7693	pencil:pen::fence:hedge	pencil:pen	fence:hedge	1	1	1	2	2	['a']	a	1	0	0	1
301.3322	2.0318	work:earn::stairs:ladder	work:earn	None	None	3	None	9	None	0	0	0	1	0	0
305.2390	2.0156	work:earn::stairs:ladder	None	stairs:ladder	0	None	1	None	2	0	0	0	0	1	0
308.3160	2.4123	work:earn::stairs:ladder	work:earn	stairs:ladder	0	3	1	9	2	['a']	a	2	0	0	1
