Onset	Duration	TrialTag	ABTag	CDTag	Match	ABMainRel	CDMainRel	ABSubRel	CDSubRel	ProbeResp	ProbeCorr	ProbeArr	AB	CD	Probe
3.0600	2.0260	repetition:boredom::below:above	repetition:boredom	None	None	3	None	7	None	0	0	0	1	0	0
6.1538	2.0260	repetition:boredom::below:above	None	below:above	0	None	2	None	5	0	0	0	0	1	0
8.7096	3.5065	repetition:boredom::below:above	repetition:boredom	below:above	0	3	2	7	5	['a']	a	2	0	0	1
13.2425	2.0311	force:pressure::speed:movement	force:pressure	None	None	1	None	3	None	0	0	0	1	0	0
16.4457	2.0219	force:pressure::speed:movement	None	speed:movement	1	None	1	None	3	0	0	0	0	1	0
20.0945	2.3467	force:pressure::speed:movement	force:pressure	speed:movement	1	1	1	3	3	['l']	l	2	0	0	1
23.4773	2.0306	pillow:cushion::rake:fork	pillow:cushion	None	None	1	None	2	None	0	0	0	1	0	0
28.2585	2.0307	pillow:cushion::rake:fork	None	rake:fork	1	None	1	None	2	0	0	0	0	1	0
31.5694	0.8228	pillow:cushion::rake:fork	pillow:cushion	rake:fork	1	1	1	2	2	['l']	l	2	0	0	1
33.4294	2.0162	ladder:stairs::table:desk	ladder:stairs	None	None	1	None	2	None	0	0	0	1	0	0
36.1327	2.0220	ladder:stairs::table:desk	None	table:desk	1	None	1	None	2	0	0	0	0	1	0
39.3190	0.6731	ladder:stairs::table:desk	ladder:stairs	table:desk	1	1	1	2	2	['l']	l	2	0	0	1
41.0229	2.0164	option:choice::high:down	option:choice	None	None	1	None	1	None	0	0	0	1	0	0
43.6027	2.0146	option:choice::high:down	None	high:down	0	None	2	None	6	0	0	0	0	1	0
46.6473	0.8488	option:choice::high:down	option:choice	high:down	0	1	2	1	6	['l']	l	1	0	0	1
48.5395	2.0166	day:evening::happiness:smile	day:evening	None	None	2	None	6	None	0	0	0	1	0	0
52.3841	2.0146	day:evening::happiness:smile	None	happiness:smile	0	None	3	None	8	0	0	0	0	1	0
55.1784	2.7178	day:evening::happiness:smile	day:evening	happiness:smile	0	2	3	6	8	['l']	a	2	0	0	1
58.9378	2.0245	exercise:healthy::burnish:shine	exercise:healthy	None	None	3	None	9	None	0	0	0	1	0	0
61.7643	2.0250	exercise:healthy::burnish:shine	None	burnish:shine	1	None	3	None	9	0	0	0	0	1	0
64.3353	1.0728	exercise:healthy::burnish:shine	exercise:healthy	burnish:shine	1	3	3	9	9	['a']	a	1	0	0	1
66.4453	2.0159	boat:ship::pants:trousers	boat:ship	None	None	1	None	1	None	0	0	0	1	0	0
69.3052	2.0154	boat:ship::pants:trousers	None	pants:trousers	1	None	1	None	1	0	0	0	0	1	0
72.2255	3.2548	boat:ship::pants:trousers	boat:ship	pants:trousers	1	1	1	1	1	['a']	l	2	0	0	1
76.5078	2.0315	black:white::pretty:ugly	black:white	None	None	2	None	4	None	0	0	0	1	0	0
