ABStart,ABDur,CDStart,CDDur,QStart,QDur,TrialTag,Match,QResponse,QCorrResponse
3.0378,2.0130,5.6904,2.0188,8.3620,4.0225,east:west::car:auto,0,None,l
13.4245,2.0169,16.2064,2.0319,18.8464,1.4417,up:down::high:low,1,['a'],a
21.3326,2.0151,24.0050,2.0146,27.1267,0.9534,pretty:beautiful::teach:instruct,1,['l'],a
29.1333,2.0271,32.3939,2.0319,35.9393,0.5409,loss:grief::fire:burns,1,['a'],a
37.5221,2.0287,40.4720,2.0319,44.2524,0.3962,hill:mountain::danger:flee,0,['l'],l
45.6771,2.0324,48.3309,2.0324,51.2838,0.7163,warm:cool::hot:cold,1,['l'],l
53.0365,2.0300,55.6758,2.0340,58.5025,2.0096,disease:sickness::flood:water,0,['a'],a
61.5513,2.0152,64.1442,2.0163,66.9724,1.4357,tiredness:rest::dark:light,0,['l'],a
69.4437,2.0291,72.4907,2.0133,75.0658,1.3502,accept:reject::lower:volume,0,['a'],a
77.4743,2.0141,80.2693,2.0160,83.0176,4.0240,stimulus:response::workout:sweat,1,None,a
88.0663,2.0159,90.6594,2.0321,93.5653,0.8428,wash:clean::cook:eat,1,['l'],l
95.4570,2.0158,98.6933,2.0295,101.3466,0.7975,sword:knife::accident:damage,0,['l'],a
103.1761,2.0155,106.0042,2.0156,109.3002,0.9080,dim:light::joke:laughter,0,['a'],a
111.2376,2.0164,114.6605,2.0311,117.6134,2.2347,good:bad::tall:short,1,['l'],l
120.8786,2.0161,123.5218,2.0291,126.6114,1.5007,thirsty:drink::anger:yell,1,['a'],a
129.1449,2.0311,131.9099,2.0161,135.7063,0.6698,cute:adorable::burnish:shine,0,['a'],a
137.4124,2.0136,140.1287,2.0319,142.8459,2.0662,paper:parchment::chair:sofa,1,['a'],a
145.9567,2.0164,148.6606,2.0311,153.5030,1.6012,rise:tide::dirty:clean,0,['a'],a
156.1451,2.0157,159.5516,2.0152,163.0960,0.6481,drink:hydrate::house:home,0,['l'],l
164.7868,2.0143,167.4410,2.0320,170.4093,2.8149,powerful:meek::rake:fork,0,['a'],a
174.2702,2.0310,177.6463,2.0298,180.5506,0.7697,discount:price::heat:temperature,1,['l'],l
182.3643,2.0150,185.5971,2.0166,189.4405,0.9437,black:white::terror:fear,0,['a'],a
191.4256,2.0318,194.3318,2.0319,197.1285,0.6157,darken:color::soften:voice,1,['l'],l
198.7845,2.0167,201.8951,2.0311,204.5204,0.8002,low:up::funny:serious,1,['a'],a
206.3652,2.0142,210.2709,2.0304,213.7368,0.7034,nervousness:sweat::coldness:shiver,1,['a'],a
215.4731,2.0313,219.1314,2.0136,222.4407,1.1835,heater:warmth::climb:descend,0,['a'],a
224.6602,2.0160,227.4568,2.0164,230.2066,0.9616,rise:sink::shovel:spoon,0,['a'],a
232.2086,2.0146,234.8322,2.0162,238.1444,1.4799,dirtiness:bathe::front:back,0,['l'],l
240.6608,2.0311,243.2701,2.0312,246.5806,0.9955,boat:ship::big:large,1,['a'],a
248.6136,2.0162,251.1761,2.0314,254.0556,0.7047,run:sprint::under:over,0,['l'],l
255.8020,2.0150,259.1877,2.0199,262.0511,2.8133,trim:shorten::study:learn,1,['a'],a
265.9157,2.0262,268.6135,2.0161,271.2692,0.6510,enthusiastic:lazy::witty:dumb,1,['a'],a
272.9742,2.0462,275.9140,2.0283,278.5654,3.7628,day:evening::speak:express,0,['l'],l
283.3622,2.0174,286.7709,2.0309,289.3629,1.8294,in:out::left:right,1,['l'],l
292.2224,2.0165,294.9742,2.0147,297.5349,2.7693,pencil:pen::fence:hedge,1,['a'],a
301.3322,2.0318,305.2390,2.0156,308.3160,2.4123,work:earn::stairs:ladder,0,['a'],a
