TrialTag	ABTag	CDTag	ABMainRel	CDMainRel	ABSubRel	CDSubRel	ProbeCorr	ProbeArr	AB	CD	Probe
interior:exterior::start:finish	interior:exterior	start:finish	2	2	5	5	a	1	0	0	1
house:tent::tall:short	house:tent	None	1	None	2	None	0	0	1	0	0
house:tent::tall:short	None	tall:short	None	2	None	4	0	0	0	1	0
house:tent::tall:short	house:tent	tall:short	1	2	2	4	a	2	0	0	1
nervousness:sweat::dirty:bathe	nervousness:sweat	None	3	None	8	None	0	0	1	0	0
nervousness:sweat::dirty:bathe	None	dirty:bathe	None	3	None	8	0	0	0	1	0
nervousness:sweat::dirty:bathe	nervousness:sweat	dirty:bathe	3	3	8	8	l	2	0	0	1
loss:grief::accident:damage	loss:grief	None	3	None	7	None	0	0	1	0	0
loss:grief::accident:damage	None	accident:damage	None	3	None	7	0	0	0	1	0
loss:grief::accident:damage	loss:grief	accident:damage	3	3	7	7	a	1	0	0	1
make:manufacture::difficult:easy	make:manufacture	None	1	None	1	None	0	0	1	0	0
make:manufacture::difficult:easy	None	difficult:easy	None	2	None	4	0	0	0	1	0
make:manufacture::difficult:easy	make:manufacture	difficult:easy	1	2	1	4	l	1	0	0	1
old:young::dark:light	old:young	None	2	None	4	None	0	0	1	0	0
old:young::dark:light	None	dark:light	None	2	None	4	0	0	0	1	0
old:young::dark:light	old:young	dark:light	2	2	4	4	a	1	0	0	1
fat:thin::kid:child	fat:thin	None	2	None	4	None	0	0	1	0	0
fat:thin::kid:child	None	kid:child	None	1	None	1	0	0	0	1	0
fat:thin::kid:child	fat:thin	kid:child	2	1	4	1	a	2	0	0	1
heater:warmth::bath:cleanliness	heater:warmth	None	3	None	7	None	0	0	1	0	0
heater:warmth::bath:cleanliness	None	bath:cleanliness	None	3	None	7	0	0	0	1	0
heater:warmth::bath:cleanliness	heater:warmth	bath:cleanliness	3	3	7	7	l	2	0	0	1
powerful:meek::fun:boring	powerful:meek	None	2	None	6	None	0	0	1	0	0
powerful:meek::fun:boring	None	fun:boring	None	2	None	6	0	0	0	1	0
powerful:meek::fun:boring	powerful:meek	fun:boring	2	2	6	6	l	2	0	0	1
ahead:behind::breathe:live	ahead:behind	None	2	None	5	None	0	0	1	0	0
ahead:behind::breathe:live	None	breathe:live	None	3	None	9	0	0	0	1	0
ahead:behind::breathe:live	ahead:behind	breathe:live	2	3	5	9	l	1	0	0	1
cute:adorable::raise:elevate	cute:adorable	None	1	None	1	None	0	0	1	0	0
cute:adorable::raise:elevate	None	raise:elevate	None	1	None	1	0	0	0	1	0
cute:adorable::raise:elevate	cute:adorable	raise:elevate	1	1	1	1	a	1	0	0	1
thirst:drink::funny:serious	thirst:drink	None	3	None	8	None	0	0	1	0	0
thirst:drink::funny:serious	None	funny:serious	None	2	None	6	0	0	0	1	0
thirst:drink::funny:serious	thirst:drink	funny:serious	3	2	8	6	l	1	0	0	1
sadness:cry::hot:cold	sadness:cry	None	3	None	8	None	0	0	1	0	0
sadness:cry::hot:cold	None	hot:cold	None	2	None	4	0	0	0	1	0
sadness:cry::hot:cold	sadness:cry	hot:cold	3	2	8	4	l	1	0	0	1
just:unfair::heat:temperature	just:unfair	None	2	None	6	None	0	0	1	0	0
just:unfair::heat:temperature	None	heat:temperature	None	1	None	3	0	0	0	1	0
just:unfair::heat:temperature	just:unfair	heat:temperature	2	1	6	3	l	1	0	0	1
good:bad::shorten:distance	good:bad	None	2	None	4	None	0	0	1	0	0
good:bad::shorten:distance	None	shorten:distance	None	1	None	3	0	0	0	1	0
good:bad::shorten:distance	good:bad	shorten:distance	2	1	4	3	l	1	0	0	1
sword:knife::workout:sweat	sword:knife	None	1	None	2	None	0	0	1	0	0
sword:knife::workout:sweat	None	workout:sweat	None	3	None	7	0	0	0	1	0
sword:knife::workout:sweat	sword:knife	workout:sweat	1	3	2	7	a	2	0	0	1
darken:color::terror:fear	darken:color	None	1	None	3	None	0	0	1	0	0
darken:color::terror:fear	None	terror:fear	None	1	None	3	0	0	0	1	0
darken:color::terror:fear	darken:color	terror:fear	1	1	3	3	a	1	0	0	1
forward:backward::climb:descend	forward:backward	None	2	None	5	None	0	0	1	0	0
forward:backward::climb:descend	None	climb:descend	None	2	None	5	0	0	0	1	0
forward:backward::climb:descend	forward:backward	climb:descend	2	2	5	5	l	2	0	0	1
work:earn::speak:express	work:earn	None	3	None	9	None	0	0	1	0	0
work:earn::speak:express	None	speak:express	None	3	None	9	0	0	0	1	0
work:earn::speak:express	work:earn	speak:express	3	3	9	9	l	2	0	0	1
enthusiastic:lazy::bright:dull	enthusiastic:lazy	None	2	None	6	None	0	0	1	0	0
enthusiastic:lazy::bright:dull	None	bright:dull	None	2	None	6	0	0	0	1	0
enthusiastic:lazy::bright:dull	enthusiastic:lazy	bright:dull	2	2	6	6	l	2	0	0	1
wagon:trailer::stairs:ladder	wagon:trailer	None	1	None	2	None	0	0	1	0	0
wagon:trailer::stairs:ladder	None	stairs:ladder	None	1	None	2	0	0	0	1	0
wagon:trailer::stairs:ladder	wagon:trailer	stairs:ladder	1	1	2	2	a	1	0	0	1
paper:parchment::shovel:spoon	paper:parchment	None	1	None	2	None	0	0	1	0	0
paper:parchment::shovel:spoon	None	shovel:spoon	None	1	None	2	0	0	0	1	0
paper:parchment::shovel:spoon	paper:parchment	shovel:spoon	1	1	2	2	l	2	0	0	1
big:small::dirty:clean	big:small	None	2	None	4	None	0	0	1	0	0
big:small::dirty:clean	None	dirty:clean	None	2	None	4	0	0	0	1	0
big:small::dirty:clean	big:small	dirty:clean	2	2	4	4	a	1	0	0	1
flee:escape::soften:voice	flee:escape	None	3	None	9	None	0	0	1	0	0
flee:escape::soften:voice	None	soften:voice	None	1	None	3	0	0	0	1	0
flee:escape::soften:voice	flee:escape	soften:voice	3	1	9	3	a	2	0	0	1
germs:sickness::acceleration:speed	germs:sickness	None	3	None	7	None	0	0	1	0	0
germs:sickness::acceleration:speed	None	acceleration:speed	None	1	None	3	0	0	0	1	0
germs:sickness::acceleration:speed	germs:sickness	acceleration:speed	3	1	7	3	a	2	0	0	1
drink:hydrate::bathe:clean	drink:hydrate	None	3	None	9	None	0	0	1	0	0
drink:hydrate::bathe:clean	None	bathe:clean	None	3	None	9	0	0	0	1	0
drink:hydrate::bathe:clean	drink:hydrate	bathe:clean	3	3	9	9	l	2	0	0	1
dirtiness:bathe::hunger:eat	dirtiness:bathe	None	3	None	8	None	0	0	1	0	0
dirtiness:bathe::hunger:eat	None	hunger:eat	None	3	None	8	0	0	0	1	0
dirtiness:bathe::hunger:eat	dirtiness:bathe	hunger:eat	3	3	8	8	a	1	0	0	1
top:bottom::teach:instruct	top:bottom	None	2	None	5	None	0	0	1	0	0
top:bottom::teach:instruct	None	teach:instruct	None	1	None	1	0	0	0	1	0
top:bottom::teach:instruct	top:bottom	teach:instruct	2	1	5	1	a	2	0	0	1
discount:price::cook:eat	discount:price	None	1	None	3	None	0	0	1	0	0
discount:price::cook:eat	None	cook:eat	None	3	None	9	0	0	0	1	0
discount:price::cook:eat	discount:price	cook:eat	1	3	3	9	l	1	0	0	1
inflation:price::witty:dumb	inflation:price	None	1	None	3	None	0	0	1	0	0
inflation:price::witty:dumb	None	witty:dumb	None	2	None	6	0	0	0	1	0
inflation:price::witty:dumb	inflation:price	witty:dumb	1	2	3	6	l	1	0	0	1
raise:salary::lower:volume	raise:salary	None	1	None	3	None	0	0	1	0	0
raise:salary::lower:volume	None	lower:volume	None	1	None	3	0	0	0	1	0
raise:salary::lower:volume	raise:salary	lower:volume	1	1	3	3	l	2	0	0	1
couch:sofa::exercise:fitness	couch:sofa	None	1	None	1	None	0	0	1	0	0
couch:sofa::exercise:fitness	None	exercise:fitness	None	3	None	7	0	0	0	1	0
couch:sofa::exercise:fitness	couch:sofa	exercise:fitness	1	3	1	7	a	2	0	0	1
tall:short::repetition:boredom	tall:short	None	2	None	4	None	0	0	1	0	0
tall:short::repetition:boredom	None	repetition:boredom	None	3	None	7	0	0	0	1	0
tall:short::repetition:boredom	tall:short	repetition:boredom	2	3	4	7	a	2	0	0	1
lower:volume::flee:escape	lower:volume	None	1	None	3	None	0	0	1	0	0
lower:volume::flee:escape	None	flee:escape	None	3	None	9	0	0	0	1	0
lower:volume::flee:escape	lower:volume	flee:escape	1	3	3	9	a	2	0	0	1
raise:elevate::cute:adorable	raise:elevate	None	1	None	1	None	0	0	1	0	0
raise:elevate::cute:adorable	None	cute:adorable	None	1	None	1	0	0	0	1	0
raise:elevate::cute:adorable	raise:elevate	cute:adorable	1	1	1	1	l	2	0	0	1
speak:express::ignite:burn	speak:express	None	3	None	9	None	0	0	1	0	0
speak:express::ignite:burn	None	ignite:burn	None	3	None	9	0	0	0	1	0
speak:express::ignite:burn	speak:express	ignite:burn	3	3	9	9	a	1	0	0	1
book:magazine::ladder:stairs	book:magazine	None	1	None	2	None	0	0	1	0	0
book:magazine::ladder:stairs	None	ladder:stairs	None	1	None	2	0	0	0	1	0
book:magazine::ladder:stairs	book:magazine	ladder:stairs	1	1	2	2	l	2	0	0	1
illness:discomfort::explosion:damage	illness:discomfort	None	3	None	7	None	0	0	1	0	0
illness:discomfort::explosion:damage	None	explosion:damage	None	3	None	7	0	0	0	1	0
illness:discomfort::explosion:damage	illness:discomfort	explosion:damage	3	3	7	7	a	1	0	0	1
fun:boring::smiling:sad	fun:boring	None	2	None	6	None	0	0	1	0	0
fun:boring::smiling:sad	None	smiling:sad	None	2	None	6	0	0	0	1	0
fun:boring::smiling:sad	fun:boring	smiling:sad	2	2	6	6	l	2	0	0	1
heat:sweat::boat:ship	heat:sweat	None	3	None	8	None	0	0	1	0	0
heat:sweat::boat:ship	None	boat:ship	None	1	None	1	0	0	0	1	0
heat:sweat::boat:ship	heat:sweat	boat:ship	3	1	8	1	l	1	0	0	1
below:above::dirtiness:bathe	below:above	None	2	None	5	None	0	0	1	0	0
below:above::dirtiness:bathe	None	dirtiness:bathe	None	3	None	8	0	0	0	1	0
below:above::dirtiness:bathe	below:above	dirtiness:bathe	2	3	5	8	l	1	0	0	1
heat:temperature::loud:discreet	heat:temperature	None	1	None	3	None	0	0	1	0	0
heat:temperature::loud:discreet	None	loud:discreet	None	2	None	6	0	0	0	1	0
heat:temperature::loud:discreet	heat:temperature	loud:discreet	1	2	3	6	l	1	0	0	1
left:right::in:out	left:right	None	2	None	5	None	0	0	1	0	0
left:right::in:out	None	in:out	None	2	None	5	0	0	0	1	0
left:right::in:out	left:right	in:out	2	2	5	5	a	1	0	0	1
acceleration:speed::inflation:price	acceleration:speed	None	1	None	3	None	0	0	1	0	0
acceleration:speed::inflation:price	None	inflation:price	None	1	None	3	0	0	0	1	0
acceleration:speed::inflation:price	acceleration:speed	inflation:price	1	1	3	3	a	1	0	0	1
good:wrong::nervousness:sweat	good:wrong	None	2	None	6	None	0	0	1	0	0
good:wrong::nervousness:sweat	None	nervousness:sweat	None	3	None	8	0	0	0	1	0
good:wrong::nervousness:sweat	good:wrong	nervousness:sweat	2	3	6	8	a	2	0	0	1
chair:sofa::pencil:pen	chair:sofa	None	1	None	2	None	0	0	1	0	0
chair:sofa::pencil:pen	None	pencil:pen	None	1	None	2	0	0	0	1	0
chair:sofa::pencil:pen	chair:sofa	pencil:pen	1	1	2	2	a	1	0	0	1
loneliness:socialize::fright:scream	loneliness:socialize	None	3	None	8	None	0	0	1	0	0
loneliness:socialize::fright:scream	None	fright:scream	None	3	None	8	0	0	0	1	0
loneliness:socialize::fright:scream	loneliness:socialize	fright:scream	3	3	8	8	a	1	0	0	1
dark:light::big:small	dark:light	None	2	None	4	None	0	0	1	0	0
dark:light::big:small	None	big:small	None	2	None	4	0	0	0	1	0
dark:light::big:small	dark:light	big:small	2	2	4	4	l	2	0	0	1
bright:dark::fat:thin	bright:dark	None	2	None	4	None	0	0	1	0	0
bright:dark::fat:thin	None	fat:thin	None	2	None	4	0	0	0	1	0
bright:dark::fat:thin	bright:dark	fat:thin	2	2	4	4	a	1	0	0	1
dirty:bathe::thirsty:drink	dirty:bathe	None	3	None	8	None	0	0	1	0	0
dirty:bathe::thirsty:drink	None	thirsty:drink	None	3	None	8	0	0	0	1	0
dirty:bathe::thirsty:drink	dirty:bathe	thirsty:drink	3	3	8	8	l	2	0	0	1
car:auto::top:bottom	car:auto	None	1	None	1	None	0	0	1	0	0
car:auto::top:bottom	None	top:bottom	None	2	None	5	0	0	0	1	0
car:auto::top:bottom	car:auto	top:bottom	1	2	1	5	a	2	0	0	1
climb:descend::pretty:beautiful	climb:descend	None	2	None	5	None	0	0	1	0	0
climb:descend::pretty:beautiful	None	pretty:beautiful	None	1	None	1	0	0	0	1	0
climb:descend::pretty:beautiful	climb:descend	pretty:beautiful	2	1	5	1	a	2	0	0	1
rich:poor::stimulus:response	rich:poor	None	2	None	4	None	0	0	1	0	0
rich:poor::stimulus:response	None	stimulus:response	None	3	None	7	0	0	0	1	0
rich:poor::stimulus:response	rich:poor	stimulus:response	2	3	4	7	a	2	0	0	1
exercise:fitness::pillow:cushion	exercise:fitness	None	3	None	7	None	0	0	1	0	0
exercise:fitness::pillow:cushion	None	pillow:cushion	None	1	None	2	0	0	0	1	0
exercise:fitness::pillow:cushion	exercise:fitness	pillow:cushion	3	1	7	2	a	2	0	0	1
workout:sweat::tragedy:tears	workout:sweat	None	3	None	7	None	0	0	1	0	0
workout:sweat::tragedy:tears	None	tragedy:tears	None	3	None	7	0	0	0	1	0
workout:sweat::tragedy:tears	workout:sweat	tragedy:tears	3	3	7	7	l	2	0	0	1
read:learn::just:unfair	read:learn	None	3	None	9	None	0	0	1	0	0
read:learn::just:unfair	None	just:unfair	None	2	None	6	0	0	0	1	0
read:learn::just:unfair	read:learn	just:unfair	3	2	9	6	l	1	0	0	1
shovel:spoon::black:white	shovel:spoon	None	1	None	2	None	0	0	1	0	0
shovel:spoon::black:white	None	black:white	None	2	None	4	0	0	0	1	0
shovel:spoon::black:white	shovel:spoon	black:white	1	2	2	4	l	1	0	0	1
north:south::east:west	north:south	None	2	None	5	None	0	0	1	0	0
north:south::east:west	None	east:west	None	2	None	5	0	0	0	1	0
north:south::east:west	north:south	east:west	2	2	5	5	a	1	0	0	1
danger:flee::force:pressure	danger:flee	None	3	None	8	None	0	0	1	0	0
danger:flee::force:pressure	None	force:pressure	None	1	None	3	0	0	0	1	0
danger:flee::force:pressure	danger:flee	force:pressure	3	1	8	3	a	2	0	0	1
kid:child::make:manufacture	kid:child	None	1	None	1	None	0	0	1	0	0
kid:child::make:manufacture	None	make:manufacture	None	1	None	1	0	0	0	1	0
kid:child::make:manufacture	kid:child	make:manufacture	1	1	1	1	a	1	0	0	1
joke:laughter::right:bad	joke:laughter	None	3	None	7	None	0	0	1	0	0
joke:laughter::right:bad	None	right:bad	None	2	None	6	0	0	0	1	0
joke:laughter::right:bad	joke:laughter	right:bad	3	2	7	6	a	2	0	0	1
bathe:clean::work:earn	bathe:clean	None	3	None	9	None	0	0	1	0	0
bathe:clean::work:earn	None	work:earn	None	3	None	9	0	0	0	1	0
bathe:clean::work:earn	bathe:clean	work:earn	3	3	9	9	l	2	0	0	1
speed:movement::raise:salary	speed:movement	None	1	None	3	None	0	0	1	0	0
speed:movement::raise:salary	None	raise:salary	None	1	None	3	0	0	0	1	0
speed:movement::raise:salary	speed:movement	raise:salary	1	1	3	3	a	1	0	0	1
bright:dull::day:evening	bright:dull	None	2	None	6	None	0	0	1	0	0
bright:dull::day:evening	None	day:evening	None	2	None	6	0	0	0	1	0
bright:dull::day:evening	bright:dull	day:evening	2	2	6	6	a	1	0	0	1
teach:instruct::up:down	teach:instruct	None	1	None	1	None	0	0	1	0	0
teach:instruct::up:down	None	up:down	None	2	None	5	0	0	0	1	0
teach:instruct::up:down	teach:instruct	up:down	1	2	1	5	a	2	0	0	1
high:down::discount:price	high:down	None	2	None	6	None	0	0	1	0	0
high:down::discount:price	None	discount:price	None	1	None	3	0	0	0	1	0
high:down::discount:price	high:down	discount:price	2	1	6	3	l	1	0	0	1
study:learn::old:young	study:learn	None	3	None	9	None	0	0	1	0	0
study:learn::old:young	None	old:young	None	2	None	4	0	0	0	1	0
study:learn::old:young	study:learn	old:young	3	2	9	4	l	1	0	0	1
rake:fork::trim:shorten	rake:fork	None	1	None	2	None	0	0	1	0	0
rake:fork::trim:shorten	None	trim:shorten	None	3	None	9	0	0	0	1	0
rake:fork::trim:shorten	rake:fork	trim:shorten	1	3	2	9	a	2	0	0	1
table:desk::powerful:meek	table:desk	None	1	None	2	None	0	0	1	0	0
table:desk::powerful:meek	None	powerful:meek	None	2	None	6	0	0	0	1	0
table:desk::powerful:meek	table:desk	powerful:meek	1	2	2	6	l	1	0	0	1
soften:voice::thirst:drink	soften:voice	None	1	None	3	None	0	0	1	0	0
soften:voice::thirst:drink	None	thirst:drink	None	3	None	8	0	0	0	1	0
soften:voice::thirst:drink	soften:voice	thirst:drink	1	3	3	8	a	2	0	0	1
fire:burns::dim:light	fire:burns	None	3	None	7	None	0	0	1	0	0
fire:burns::dim:light	None	dim:light	None	1	None	3	0	0	0	1	0
fire:burns::dim:light	fire:burns	dim:light	3	1	7	3	a	2	0	0	1
funny:serious::wash:clean	funny:serious	None	2	None	6	None	0	0	1	0	0
funny:serious::wash:clean	None	wash:clean	None	3	None	9	0	0	0	1	0
funny:serious::wash:clean	funny:serious	wash:clean	2	3	6	9	a	2	0	0	1
breathe:live::good:bad	breathe:live	None	3	None	9	None	0	0	1	0	0
breathe:live::good:bad	None	good:bad	None	2	None	4	0	0	0	1	0
breathe:live::good:bad	breathe:live	good:bad	3	2	9	4	a	2	0	0	1
coldness:shiver::couch:sofa	coldness:shiver	None	3	None	8	None	0	0	1	0	0
coldness:shiver::couch:sofa	None	couch:sofa	None	1	None	1	0	0	0	1	0
coldness:shiver::couch:sofa	coldness:shiver	couch:sofa	3	1	8	1	l	1	0	0	1
burnish:shine::drink:hydrate	burnish:shine	None	3	None	9	None	0	0	1	0	0
burnish:shine::drink:hydrate	None	drink:hydrate	None	3	None	9	0	0	0	1	0
burnish:shine::drink:hydrate	burnish:shine	drink:hydrate	3	3	9	9	l	2	0	0	1
house:home::run:sprint	house:home	None	1	None	1	None	0	0	1	0	0
house:home::run:sprint	None	run:sprint	None	1	None	1	0	0	0	1	0
house:home::run:sprint	house:home	run:sprint	1	1	1	1	l	2	0	0	1
flood:water::death:population	flood:water	None	1	None	3	None	0	0	1	0	0
flood:water::death:population	None	death:population	None	1	None	3	0	0	0	1	0
flood:water::death:population	flood:water	death:population	1	1	3	3	l	2	0	0	1
fence:hedge::hill:mountain	fence:hedge	None	1	None	2	None	0	0	1	0	0
fence:hedge::hill:mountain	None	hill:mountain	None	1	None	2	0	0	0	1	0
fence:hedge::hill:mountain	fence:hedge	hill:mountain	1	1	2	2	a	1	0	0	1
terror:fear::rise:tide	terror:fear	None	1	None	3	None	0	0	1	0	0
terror:fear::rise:tide	None	rise:tide	None	1	None	3	0	0	0	1	0
terror:fear::rise:tide	terror:fear	rise:tide	1	1	3	3	a	1	0	0	1
hunger:eat::tiredness:rest	hunger:eat	None	3	None	8	None	0	0	1	0	0
hunger:eat::tiredness:rest	None	tiredness:rest	None	3	None	8	0	0	0	1	0
hunger:eat::tiredness:rest	hunger:eat	tiredness:rest	3	3	8	8	a	1	0	0	1
careful:cautious::heater:warmth	careful:cautious	None	1	None	1	None	0	0	1	0	0
careful:cautious::heater:warmth	None	heater:warmth	None	3	None	7	0	0	0	1	0
careful:cautious::heater:warmth	careful:cautious	heater:warmth	1	3	1	7	l	1	0	0	1
start:finish::forward:backward	start:finish	None	2	None	5	None	0	0	1	0	0
start:finish::forward:backward	None	forward:backward	None	2	None	5	0	0	0	1	0
start:finish::forward:backward	start:finish	forward:backward	2	2	5	5	l	2	0	0	1
dirty:clean::darken:color	dirty:clean	None	2	None	4	None	0	0	1	0	0
dirty:clean::darken:color	None	darken:color	None	1	None	3	0	0	0	1	0
dirty:clean::darken:color	dirty:clean	darken:color	2	1	4	3	a	2	0	0	1
accident:damage::germs:sickness	accident:damage	None	3	None	7	None	0	0	1	0	0
accident:damage::germs:sickness	None	germs:sickness	None	3	None	7	0	0	0	1	0
accident:damage::germs:sickness	accident:damage	germs:sickness	3	3	7	7	l	2	0	0	1
stairs:ladder::sickness:medicate	stairs:ladder	None	1	None	2	None	0	0	1	0	0
stairs:ladder::sickness:medicate	None	sickness:medicate	None	3	None	8	0	0	0	1	0
stairs:ladder::sickness:medicate	stairs:ladder	sickness:medicate	1	3	2	8	a	2	0	0	1
advertise:promote::paper:parchment	advertise:promote	None	3	None	9	None	0	0	1	0	0
advertise:promote::paper:parchment	None	paper:parchment	None	1	None	2	0	0	0	1	0
advertise:promote::paper:parchment	advertise:promote	paper:parchment	3	1	9	2	a	2	0	0	1
high:low::rise:sink	high:low	None	2	None	5	None	0	0	1	0	0
high:low::rise:sink	None	rise:sink	None	2	None	5	0	0	0	1	0
high:low::rise:sink	high:low	rise:sink	2	2	5	5	a	1	0	0	1
cook:eat::exercise:healthy	cook:eat	None	3	None	9	None	0	0	1	0	0
cook:eat::exercise:healthy	None	exercise:healthy	None	3	None	9	0	0	0	1	0
cook:eat::exercise:healthy	cook:eat	exercise:healthy	3	3	9	9	a	1	0	0	1
obey:protest::enthusiastic:lazy	obey:protest	None	2	None	6	None	0	0	1	0	0
obey:protest::enthusiastic:lazy	None	enthusiastic:lazy	None	2	None	6	0	0	0	1	0
obey:protest::enthusiastic:lazy	obey:protest	enthusiastic:lazy	2	2	6	6	l	2	0	0	1
bath:cleanliness::ahead:behind	bath:cleanliness	None	3	None	7	None	0	0	1	0	0
bath:cleanliness::ahead:behind	None	ahead:behind	None	2	None	5	0	0	0	1	0
bath:cleanliness::ahead:behind	bath:cleanliness	ahead:behind	3	2	7	5	l	1	0	0	1
under:over::sleep:rest	under:over	None	2	None	5	None	0	0	1	0	0
under:over::sleep:rest	None	sleep:rest	None	3	None	9	0	0	0	1	0
under:over::sleep:rest	under:over	sleep:rest	2	3	5	9	l	1	0	0	1
majority:small::house:tent	majority:small	None	2	None	6	None	0	0	1	0	0
majority:small::house:tent	None	house:tent	None	1	None	2	0	0	0	1	0
majority:small::house:tent	majority:small	house:tent	2	1	6	2	l	1	0	0	1
pretty:ugly::spin:twirl	pretty:ugly	None	2	None	4	None	0	0	1	0	0
pretty:ugly::spin:twirl	None	spin:twirl	None	1	None	1	0	0	0	1	0
pretty:ugly::spin:twirl	pretty:ugly	spin:twirl	2	1	4	1	a	2	0	0	1
pants:trousers::disease:sickness	pants:trousers	None	1	None	1	None	0	0	1	0	0
pants:trousers::disease:sickness	None	disease:sickness	None	3	None	7	0	0	0	1	0
pants:trousers::disease:sickness	pants:trousers	disease:sickness	1	3	1	7	l	1	0	0	1
witty:dumb::low:up	witty:dumb	None	2	None	6	None	0	0	1	0	0
witty:dumb::low:up	None	low:up	None	2	None	6	0	0	0	1	0
witty:dumb::low:up	witty:dumb	low:up	2	2	6	6	l	2	0	0	1
front:back::wagon:trailer	front:back	None	2	None	5	None	0	0	1	0	0
front:back::wagon:trailer	None	wagon:trailer	None	1	None	2	0	0	0	1	0
front:back::wagon:trailer	front:back	wagon:trailer	2	1	5	2	l	1	0	0	1
happiness:smile::sadness:cry	happiness:smile	None	3	None	8	None	0	0	1	0	0
happiness:smile::sadness:cry	None	sadness:cry	None	3	None	8	0	0	0	1	0
happiness:smile::sadness:cry	happiness:smile	sadness:cry	3	3	8	8	l	2	0	0	1
difficult:easy::warm:cool	difficult:easy	None	2	None	4	None	0	0	1	0	0
difficult:easy::warm:cool	None	warm:cool	None	2	None	4	0	0	0	1	0
difficult:easy::warm:cool	difficult:easy	warm:cool	2	2	4	4	a	1	0	0	1
big:large::option:choice	big:large	None	1	None	1	None	0	0	1	0	0
big:large::option:choice	None	option:choice	None	1	None	1	0	0	0	1	0
big:large::option:choice	big:large	option:choice	1	1	1	1	a	1	0	0	1
picture:drawing::sword:knife	picture:drawing	None	1	None	2	None	0	0	1	0	0
picture:drawing::sword:knife	None	sword:knife	None	1	None	2	0	0	0	1	0
picture:drawing::sword:knife	picture:drawing	sword:knife	1	1	2	2	a	1	0	0	1
shorten:distance::fast:slow	shorten:distance	None	1	None	3	None	0	0	1	0	0
shorten:distance::fast:slow	None	fast:slow	None	2	None	4	0	0	0	1	0
shorten:distance::fast:slow	shorten:distance	fast:slow	1	2	3	4	a	2	0	0	1
anger:yell::interior:exterior	anger:yell	None	3	None	8	None	0	0	1	0	0
anger:yell::interior:exterior	None	interior:exterior	None	2	None	5	0	0	0	1	0
anger:yell::interior:exterior	anger:yell	interior:exterior	3	2	8	5	l	1	0	0	1
hot:cold::accept:reject	hot:cold	None	2	None	4	None	0	0	1	0	0
hot:cold::accept:reject	None	accept:reject	None	2	None	4	0	0	0	1	0
hot:cold::accept:reject	hot:cold	accept:reject	2	2	4	4	a	1	0	0	1
injury:pain::loss:grief	injury:pain	None	3	None	7	None	0	0	1	0	0
injury:pain::loss:grief	None	loss:grief	None	3	None	7	0	0	0	1	0
injury:pain::loss:grief	injury:pain	loss:grief	3	3	7	7	l	2	0	0	1
shorten:distance::force:pressure	shorten:distance	None	1	None	3	None	0	0	1	0	0
shorten:distance::force:pressure	None	force:pressure	None	1	None	3	0	0	0	1	0
shorten:distance::force:pressure	shorten:distance	force:pressure	1	1	3	3	a	1	0	0	1
speed:movement::fat:thin	speed:movement	None	1	None	3	None	0	0	1	0	0
speed:movement::fat:thin	None	fat:thin	None	2	None	4	0	0	0	1	0
speed:movement::fat:thin	speed:movement	fat:thin	1	2	3	4	l	1	0	0	1
bright:dark::cute:adorable	bright:dark	None	2	None	4	None	0	0	1	0	0
bright:dark::cute:adorable	None	cute:adorable	None	1	None	1	0	0	0	1	0
bright:dark::cute:adorable	bright:dark	cute:adorable	2	1	4	1	a	2	0	0	1
hunger:eat::dirtiness:bathe	hunger:eat	None	3	None	8	None	0	0	1	0	0
hunger:eat::dirtiness:bathe	None	dirtiness:bathe	None	3	None	8	0	0	0	1	0
hunger:eat::dirtiness:bathe	hunger:eat	dirtiness:bathe	3	3	8	8	a	1	0	0	1
teach:instruct::germs:sickness	teach:instruct	None	1	None	1	None	0	0	1	0	0
teach:instruct::germs:sickness	None	germs:sickness	None	3	None	7	0	0	0	1	0
teach:instruct::germs:sickness	teach:instruct	germs:sickness	1	3	1	7	l	1	0	0	1
left:right::tragedy:tears	left:right	None	2	None	5	None	0	0	1	0	0
left:right::tragedy:tears	None	tragedy:tears	None	3	None	7	0	0	0	1	0
left:right::tragedy:tears	left:right	tragedy:tears	2	3	5	7	l	1	0	0	1
under:over::drink:hydrate	under:over	None	2	None	5	None	0	0	1	0	0
under:over::drink:hydrate	None	drink:hydrate	None	3	None	9	0	0	0	1	0
under:over::drink:hydrate	under:over	drink:hydrate	2	3	5	9	l	1	0	0	1
obey:protest::right:bad	obey:protest	None	2	None	6	None	0	0	1	0	0
obey:protest::right:bad	None	right:bad	None	2	None	6	0	0	0	1	0
obey:protest::right:bad	obey:protest	right:bad	2	2	6	6	a	1	0	0	1
pretty:ugly::good:bad	pretty:ugly	None	2	None	4	None	0	0	1	0	0
pretty:ugly::good:bad	None	good:bad	None	2	None	4	0	0	0	1	0
pretty:ugly::good:bad	pretty:ugly	good:bad	2	2	4	4	l	2	0	0	1
dirty:bathe::thirst:drink	dirty:bathe	None	3	None	8	None	0	0	1	0	0
dirty:bathe::thirst:drink	None	thirst:drink	None	3	None	8	0	0	0	1	0
dirty:bathe::thirst:drink	dirty:bathe	thirst:drink	3	3	8	8	a	1	0	0	1
happiness:smile::accept:reject	happiness:smile	None	3	None	8	None	0	0	1	0	0
happiness:smile::accept:reject	None	accept:reject	None	2	None	4	0	0	0	1	0
