ABStart,ABDur,CDStart,CDDur,QStart,QDur,TrialTag,Match,QResponse,QCorrResponse
3.0199,2.0122,6.1067,2.0097,9.2687,0.7066,wash:clean::careful:cautious,0,['l'],a
11.0112,2.0124,14.4314,2.0162,17.6423,0.4402,pretty:beautiful::car:auto,1,['a'],a
19.1153,2.0093,24.2691,2.0133,27.4434,0.6738,smiling:sad::illness:discomfort,0,['a'],a
29.1445,2.0139,31.8539,2.0085,34.5340,0.8162,explosion:damage::book:magazine,0,['a'],l
36.3797,1.9996,39.2174,1.9963,42.0966,0.6375,interior:exterior::start:finish,1,['a'],a
43.7519,2.0152,46.4704,2.0020,49.7099,1.3614,house:tent::tall:short,0,['a'],a
52.1040,2.0099,54.9533,2.0088,58.1526,1.7928,nervousness:sweat::dirty:bathe,1,['l'],l
60.9765,2.0152,63.7123,2.0143,67.3402,0.5686,loss:grief::accident:damage,1,['a'],a
68.9282,2.0145,71.7890,2.0108,74.6942,0.9868,make:manufacture::difficult:easy,0,['l'],l
76.7071,2.0003,79.9615,2.0005,82.8710,0.3855,old:young::dark:light,1,['a'],a
84.2746,2.0009,87.1353,2.0007,90.6706,0.6419,fat:thin::kid:child,0,['a'],a
92.3417,2.0142,95.9524,2.0159,98.6430,0.6311,heater:warmth::bath:cleanliness,1,['l'],l
100.3015,2.0154,103.2231,1.9997,106.5695,1.1170,powerful:meek::fun:boring,1,['l'],l
108.7086,2.0155,111.6317,2.0173,114.5743,0.6963,ahead:behind::breathe:live,0,['l'],l
116.2914,2.0148,119.6351,2.0122,122.5875,0.4742,cute:adorable::raise:elevate,1,['a'],a
124.0868,2.0150,127.5879,2.0152,130.7623,0.6848,thirst:drink::funny:serious,0,['l'],l
132.4579,2.0148,135.0521,2.0151,137.7263,0.5338,sadness:cry::hot:cold,0,['l'],l
139.2776,2.0103,142.2125,2.0137,144.7603,1.6191,just:unfair::heat:temperature,0,['l'],l
147.3988,2.0011,150.5750,2.0093,153.6333,0.6731,good:bad::shorten:distance,0,['l'],l
155.3352,2.0158,158.2127,2.0024,160.8905,2.8271,sword:knife::workout:sweat,0,['a'],a
164.7426,2.0110,167.4101,2.0143,170.1926,2.7468,darken:color::terror:fear,1,['l'],a
173.9685,2.0094,177.0107,2.0100,180.4459,1.7069,forward:backward::climb:descend,1,['l'],l
183.1776,2.0007,185.8054,2.0163,188.7311,0.9084,work:earn::speak:express,1,['l'],l
190.6688,2.0020,193.6870,2.0158,196.7078,0.7603,enthusiastic:lazy::bright:dull,1,['l'],l
198.4867,2.0084,202.0871,2.0153,204.8241,0.5707,wagon:trailer::stairs:ladder,1,['a'],a
206.4282,2.0131,209.5054,2.0085,212.1584,1.3755,paper:parchment::shovel:spoon,1,['l'],l
214.5662,2.0124,217.5349,2.0009,220.4761,2.1978,big:small::dirty:clean,1,['a'],a
223.6964,2.0138,226.3047,2.0114,229.1951,1.1248,flee:escape::soften:voice,0,['l'],a
231.3404,2.0151,234.2337,2.0100,236.9819,0.8841,germs:sickness::acceleration:speed,0,['l'],a
238.8795,2.0166,242.3340,2.0161,246.1503,0.8192,drink:hydrate::bathe:clean,1,['l'],l
247.9945,2.0135,251.0723,2.0154,253.9337,0.8135,dirtiness:bathe::hunger:eat,1,['a'],a
255.7765,2.0161,258.7816,2.0037,261.5070,0.8574,top:bottom::teach:instruct,0,['a'],a
263.3940,2.0146,266.2368,2.0021,268.8790,1.6543,discount:price::cook:eat,0,['a'],l
271.5568,2.0125,275.5233,2.0005,278.2341,2.2091,inflation:price::witty:dumb,0,['l'],l
281.4689,2.0150,286.5619,1.9908,289.6336,0.9715,raise:salary::lower:volume,1,['l'],l
291.6312,2.0006,294.4624,2.0151,297.4810,2.5137,couch:sofa::exercise:fitness,0,['l'],a
