ABStart,ABDur,CDStart,CDDur,QStart,QDur,TrialTag,Match,QResponse,QCorrResponse
3.0270,2.0098,5.8756,2.0025,8.4332,0.5399,house:tent::book:magazine,1,['a'],a
10.0063,2.0016,12.7295,2.0134,15.9554,0.9854,fat:thin::dirty:bathe,0,['a'],l
17.9805,2.0101,20.9644,2.0111,24.2192,0.8113,top:bottom::pants:trousers,0,['a'],a
26.0604,2.0070,30.0738,2.0102,32.6495,0.8246,sickness:medicate::raise:elevate,0,['a'],a
34.4919,2.0125,37.9474,2.0031,40.4861,1.6086,fast:slow::heat:sweat,0,['l'],l
43.1239,2.0152,46.4851,2.0138,49.3919,1.0639,ahead:behind::bath:cleanliness,0,['l'],l
51.4841,2.0000,54.7976,2.0151,58.0815,1.0765,smiling:sad::high:down,1,['l'],l
60.1767,1.9982,62.7373,1.9926,65.9049,0.9407,old:young::rich:poor,1,['l'],l
67.8732,2.0148,70.5134,1.9962,73.1698,1.6699,pillow:cushion::pretty:ugly,0,['l'],l
75.8698,1.9952,78.4124,2.0154,81.0238,0.7305,spin:twirl::bright:dull,0,['l'],l
82.7731,2.0147,85.6024,2.0141,89.1824,0.7012,wagon:trailer::picture:drawing,1,['l'],l
90.9077,2.0128,93.7365,2.0128,96.6111,0.5867,force:pressure::acceleration:speed,1,['a'],a
98.2115,2.0109,100.9727,1.9933,103.6560,0.9375,just:unfair::injury:pain,0,['l'],l
105.6238,2.0150,108.3138,2.0130,111.0953,1.3167,option:choice::careful:cautious,1,['l'],l
113.4385,2.0142,116.0310,2.0001,119.8039,1.0874,inflation:price::hunger:eat,0,['l'],a
121.9123,2.0137,124.6168,2.0134,127.5097,1.2223,germs:sickness::illness:discomfort,1,['l'],l
129.7560,2.0180,132.4616,2.0013,135.4036,3.0042,flee:escape::read:learn,1,None,l
139.4283,2.0003,141.9914,1.9998,144.6035,2.4706,sleep:rest::bright:dark,0,['a'],l
148.1038,2.0137,151.7127,2.0082,154.3643,0.8242,explosion:damage::fun:boring,0,['l'],l
156.2064,2.0041,158.8214,2.0144,161.3703,2.7926,ignite:burn::speed:movement,0,['l'],a
165.1816,2.0119,167.8041,2.0147,172.0411,2.3454,loud:discreet::majority:small,1,['l'],l
175.4129,2.0143,178.5355,2.0054,181.1688,1.1161,sadness:cry::table:desk,0,['l'],a
183.3064,2.0180,186.6396,2.0133,189.2335,1.0246,make:manufacture::obey:protest,0,['l'],l
191.2806,2.0084,193.8377,2.0140,196.9636,0.6003,exercise:healthy::breathe:live,1,['a'],a
198.5896,2.0152,201.4840,2.0118,204.8064,0.6811,fright:scream::loneliness:socialize,1,['l'],a
206.5082,2.0152,209.3067,2.0143,211.9965,0.9181,thirst:drink::happiness:smile,1,['l'],l
213.9462,1.9937,216.7391,2.0025,219.2755,0.6345,right:bad::advertise:promote,0,['a'],l
220.9296,2.0003,224.2901,2.0153,227.0270,0.6560,couch:sofa::kid:child,1,['l'],l
228.7133,2.0151,231.4491,2.0144,234.6071,0.7706,ladder:stairs::bathe:clean,0,['l'],a
236.4038,2.0136,240.8904,2.0142,243.5329,0.8983,interior:exterior::below:above,1,['l'],l
245.4586,2.0031,248.0407,2.0152,251.1522,0.6501,death:population::start:finish,0,['a'],l
252.8271,2.0109,255.7291,2.0117,258.3687,1.4954,repetition:boredom::good:wrong,0,['a'],a
260.8837,2.0117,263.5527,2.0159,266.2272,0.5612,forward:backward::north:south,1,['a'],a
267.8203,2.0149,271.7138,2.0133,274.2919,1.2577,tragedy:tears::exercise:fitness,1,['a'],a
276.5729,2.0040,279.3726,2.0029,282.2535,2.7115,raise:salary::shorten:distance,1,['l'],l
285.9869,2.0153,288.6152,2.0152,291.2888,0.6835,big:small::difficult:easy,1,['a'],a
